Surf Break,Surf Break Type,Date,Time,Wave Height (ft),Upper Wave Height (ft),Wave Height Range,Primary Swell (ft),Primary Swell (seconds),Wind (kts),Wave Energy,Consistency,w/nw
Oceanside Pier,Beach Break,2024-05-01,0,2,3,2-3,1.2,13,2,21,59,w
Oceanside Pier,Beach Break,2024-05-01,3,2,3,2-3,1.2,13,1,19,59,w
Oceanside Pier,Beach Break,2024-05-01,6,1,2,1-2,1.1,13,3,23,57,w
Oceanside Pier,Beach Break,2024-05-01,9,1,2,1-2,1.1,13,2,22,54,w
Oceanside Pier,Beach Break,2024-05-01,12,1,2,1-2,0.9,17,7,24,53,nw
Oceanside Pier,Beach Break,2024-05-01,15,1,2,1-2,1,17,13,26,52,nw
Oceanside Pier,Beach Break,2024-05-01,18,1,2,1-2,1,17,16,28,51,nw
Oceanside Pier,Beach Break,2024-05-01,21,2,3,2-3,1,18,13,28,51,nw
Oceanside Pier,Beach Break,2024-05-02,0,2,3,2-3,1,17,3,29,49,w
Oceanside Pier,Beach Break,2024-05-02,3,2,3,2-3,1.6,16,3,60,47,w
Oceanside Pier,Beach Break,2024-05-02,6,2,3,2-3,1.7,16,2,63,48,w
Oceanside Pier,Beach Break,2024-05-02,9,2,3,2-3,1.5,16,3,42,49,w
Oceanside Pier,Beach Break,2024-05-02,12,2,3,2-3,1.5,16,4,44,49,w
Oceanside Pier,Beach Break,2024-05-02,15,1,2,1-2,1.6,16,11,54,47,nw
Oceanside Pier,Beach Break,2024-05-02,18,1,2,1-2,1.6,16,8,52,47,nw
Oceanside Pier,Beach Break,2024-05-02,21,2,3,2-3,1.7,16,5,63,47,nw
Oceanside Pier,Beach Break,2024-05-03,0,2,3,2-3,1.8,15,6,64,47,nw
Oceanside Pier,Beach Break,2024-05-03,3,2,3,2-3,1.9,15,6,72,47,nw
Oceanside Pier,Beach Break,2024-05-03,6,2,3,2-3,1.8,15,7,54,47,nw
Oceanside Pier,Beach Break,2024-05-03,9,2,3,2-3,1.7,14,8,54,46,nw
Oceanside Pier,Beach Break,2024-05-03,12,2,3,2-3,1.6,14,8,53,46,nw
Oceanside Pier,Beach Break,2024-05-03,15,2,3,2-3,1.8,15,6,55,46,nw
Oceanside Pier,Beach Break,2024-05-03,18,2,3,2-3,1.9,16,5,86,45,w
Oceanside Pier,Beach Break,2024-05-03,21,2,3,2-3,1.9,16,6,87,44,nw
Oceanside Pier,Beach Break,2024-05-04,0,2,3,2-3,1.5,16,7,55,46,nw
Oceanside Pier,Beach Break,2024-05-04,3,2,3,2-3,1.6,16,7,52,47,nw
Oceanside Pier,Beach Break,2024-05-04,6,2,3,2-3,1.7,16,7,60,47,nw
Oceanside Pier,Beach Break,2024-05-04,9,2,3,2-3,2.1,16,5,91,45,w
Oceanside Pier,Beach Break,2024-05-04,12,2,3,2-3,2.1,15,5,91,45,w
Oceanside Pier,Beach Break,2024-05-04,15,2,3,2-3,2.1,15,5,92,46,w
Oceanside Pier,Beach Break,2024-05-04,18,2,3,2-3,2.1,15,7,79,46,nw
Oceanside Pier,Beach Break,2024-05-04,21,2,3,2-3,2,15,2,74,47,w
Oceanside Pier,Beach Break,2024-05-05,0,2,3,2-3,2,15,5,84,47,w
Oceanside Pier,Beach Break,2024-05-05,3,2,3,2-3,1.9,15,5,61,48,w
Oceanside Pier,Beach Break,2024-05-05,6,2,3,2-3,1.9,15,3,62,48,w
Oceanside Pier,Beach Break,2024-05-05,9,2,3,2-3,1.9,15,6,61,49,w
Oceanside Pier,Beach Break,2024-05-05,12,2,3,2-3,1.9,14,10,64,49,nw
Oceanside Pier,Beach Break,2024-05-05,15,2,3,2-3,1.8,14,9,55,49,nw
Oceanside Pier,Beach Break,2024-05-05,18,2,3,2-3,1.8,14,9,50,49,nw
Oceanside Pier,Beach Break,2024-05-05,21,2,3,2-3,1.8,14,6,51,49,nw
Oceanside Pier,Beach Break,2024-05-06,0,2,3,2-3,1.7,14,6,53,49,nw
Oceanside Pier,Beach Break,2024-05-06,3,2,3,2-3,1.7,14,4,53,49,w
Oceanside Pier,Beach Break,2024-05-06,6,2,3,2-3,1.6,13,4,42,49,w
Oceanside Pier,Beach Break,2024-05-06,9,2,3,2-3,1.5,13,6,39,49,nw
Oceanside Pier,Beach Break,2024-05-06,12,2,3,2-3,1.5,13,7,41,48,nw
Oceanside Pier,Beach Break,2024-05-06,15,2,3,2-3,1.5,17,9,67,47,nw
Oceanside Pier,Beach Break,2024-05-06,18,2,3,2-3,1.8,17,9,88,45,nw
Oceanside Pier,Beach Break,2024-05-06,21,2,3,2-3,1.9,18,5,103,44,w
